"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Film & Video","United States",15,"2013","April",4000,"yes"
"Games","Germany",30,"2015","May",14663,"no"
"Music","United States",11,"2012","August",2000,"yes"
"Fashion","United Kingdom",21,"2017","November",1396,"yes"
"Publishing","United States",45,"2013","December",16500,"yes"
"Food","United Kingdom",30,"2014","January",4885,"no"
"Dance","United States",37,"2012","December",1000,"yes"
"Games","Canada",44,"2016","December",1169,"yes"
"Film & Video","United States",55,"2013","February",25000,"no"
"Technology","Canada",30,"2017","March",23377,"no"
"Fashion","Canada",30,"2015","November",2338,"yes"
"Games","Canada",33,"2013","October",10130,"no"
"Art","United Kingdom",37,"2014","June",13956,"no"
"Film & Video","United Kingdom",30,"2016","September",6978,"no"
"Fashion","United States",35,"2015","October",25000,"no"
"Food","United States",30,"2017","June",10000,"no"
"Fashion","United States",32,"2014","September",2000,"no"
"Technology","United Kingdom",31,"2015","July",12561,"yes"
"Design","Canada",60,"2016","February",7792,"yes"
"Design","United States",30,"2017","September",10000,"no"
"Theater","Italy",30,"2016","February",12219,"no"
"Publishing","United States",30,"2013","April",3600,"no"
"Publishing","United States",40,"2011","October",6500,"no"
"Design","United States",35,"2012","December",40000,"no"
"Publishing","United States",30,"2016","August",3999,"no"
"Design","United States",30,"2015","June",25000,"no"
"Publishing","United States",30,"2014","September",7500,"yes"
"Music","United States",30,"2016","October",5500,"no"
"Art","United States",30,"2012","June",25000,"no"
"Film & Video","United States",29,"2012","April",3750,"no"
"Publishing","Canada",33,"2013","October",1948,"yes"
"Music","United States",30,"2011","April",3000,"yes"
"Games","Mexico",60,"2017","March",2649,"no"
"Publishing","New Zealand",31,"2015","August",5339,"yes"
"Publishing","United Kingdom",28,"2015","January",2791,"no"
"Fashion","United Kingdom",30,"2017","August",27913,"no"
"Comics","United States",30,"2015","November",3500,"no"
"Comics","Australia",30,"2017","October",38019,"no"
"Music","United States",30,"2012","July",5000,"no"
"Photography","United Kingdom",30,"2014","November",13956,"no"
"Film & Video","United Kingdom",30,"2017","June",2093,"yes"
"Games","United States",27,"2015","September",4000,"yes"
"Food","Canada",30,"2015","May",27273,"no"
"Technology","Norway",30,"2015","October",10385,"yes"
"Dance","United States",32,"2012","March",2700,"yes"
"Fashion","United States",30,"2012","October",1000,"yes"
"Art","Germany",30,"2017","June",12219,"no"
"Art","United States",30,"2015","January",3000,"no"
"Publishing","United Kingdom",28,"2017","March",11165,"no"
"Food","United States",31,"2013","March",25000,"no"
"Theater","United States",30,"2011","August",7500,"no"
"Food","United States",30,"2014","May",30000,"no"
"Music","United States",32,"2013","April",42000,"yes"
"Photography","United States",60,"2011","November",15000,"no"
"Film & Video","United Kingdom",20,"2014","May",6978,"yes"
"Film & Video","United States",46,"2010","January",5000,"yes"
"Games","United Kingdom",20,"2016","April",6280,"yes"
"Art","United Kingdom",15,"2016","March",3070,"no"
"Food","United States",30,"2017","November",35000,"no"
"Film & Video","United Kingdom",40,"2014","March",2791,"yes"
"Design","United States",31,"2014","July",4000,"yes"
"Technology","United Kingdom",30,"2017","October",11165,"no"
"Film & Video","United States",40,"2011","January",6000,"no"
"Food","United States",21,"2015","July",7500,"yes"
"Food","United Kingdom",30,"2017","February",27913,"no"
"Journalism","United States",45,"2010","October",2000,"yes"
"Technology","Ireland",31,"2017","October",8553,"no"
"Design","Canada",35,"2014","March",8572,"no"
"Film & Video","United States",30,"2012","March",15000,"no"
"Music","United States",43,"2015","November",17500,"yes"
"Film & Video","United States",28,"2015","May",7500,"no"
"Design","United States",30,"2015","November",5000,"no"
"Food","Canada",32,"2014","February",7792,"yes"
"Music","United Kingdom",30,"2015","April",1814,"yes"
"Art","United States",35,"2016","September",10000,"no"
"Music","United States",35,"2017","October",7000,"no"
"Food","United States",30,"2015","September",2500,"no"
"Publishing","United States",21,"2015","May",10000,"yes"
"Film & Video","United States",30,"2014","May",40000,"yes"
"Food","United States",31,"2014","August",18000,"no"
"Comics","United States",37,"2015","March",5013,"no"
"Art","Germany",30,"2015","June",6110,"no"
"Dance","United States",30,"2012","October",12500,"yes"
"Technology","United States",30,"2014","August",4000,"no"
"Fashion","United States",29,"2015","April",3500,"no"
"Comics","Canada",30,"2015","August",2338,"yes"
"Photography","Italy",30,"2017","March",3666,"no"
"Music","United Kingdom",30,"2017","June",5583,"yes"
"Film & Video","United States",14,"2016","November",1000,"no"
"Design","United States",33,"2015","March",10000,"yes"
"Games","United Kingdom",30,"2014","March",27913,"no"
"Theater","United States",60,"2015","March",30000,"no"
"Publishing","United States",30,"2015","March",8500,"no"
"Film & Video","United Kingdom",30,"2017","October",41869,"no"
"Publishing","United States",60,"2012","March",2000,"no"
"Design","United Kingdom",60,"2015","May",27913,"no"
"Technology","United States",30,"2015","May",30000,"no"
"Design","United States",30,"2017","June",10000,"no"
"Film & Video","United States",30,"2014","March",21500,"no"
"Publishing","United States",30,"2014","August",1000,"no"
"Games","United States",30,"2011","September",20000,"yes"
"Publishing","United States",18,"2010","November",1000,"no"
"Film & Video","United States",30,"2011","November",43500,"yes"
"Design","United States",35,"2015","May",5000,"no"
"Design","Netherlands",35,"2017","August",3055,"yes"
"Film & Video","United States",30,"2010","July",1000,"yes"
"Technology","Belgium",30,"2017","November",25660,"no"
"Games","Spain",30,"2017","November",18329,"no"
"Fashion","United States",25,"2015","May",5000,"no"
"Technology","Canada",30,"2016","June",2338,"no"
"Technology","Germany",30,"2015","August",5865,"no"
"Technology","Spain",30,"2015","September",18329,"no"
"Film & Video","United States",48,"2013","June",5000,"yes"
"Music","United States",30,"2012","October",8000,"no"
"Film & Video","United States",30,"2017","August",1000,"no"
"Music","United States",45,"2012","February",5000,"no"
"Music","France",30,"2016","September",3666,"no"
"Film & Video","United Kingdom",30,"2016","October",4885,"yes"
"Design","New Zealand",23,"2016","October",2065,"yes"
"Art","Canada",30,"2014","November",11689,"no"
"Technology","Canada",30,"2015","December",1948,"no"
"Comics","Mexico",33,"2017","November",1695,"yes"
"Art","Canada",30,"2017","January",19013,"no"
"Technology","United States",30,"2015","July",5000,"no"
"Design","Canada",30,"2016","July",2727,"yes"
"Publishing","United States",29,"2014","February",5000,"yes"
